   104/799        0G   0.04242    0.1092         0    0.1516       715       640      0.58    0.3581    0.3359    0.1111   0.08534    0.5181         0
   105/799        0G   0.04001    0.1186         0    0.1586       952       640    0.6589    0.3651    0.3651    0.1327    0.0833    0.5094         0
   106/799        0G   0.04055    0.1183         0    0.1589       722       640    0.6688    0.3776    0.3793    0.1345    0.0846    0.5234         0
   107/799        0G   0.03895    0.1198         0    0.1588      1180       640    0.6661    0.3936    0.3889    0.1386   0.08339    0.5042         0
   108/799        0G   0.04121     0.118         0    0.1592      1921       640    0.6189    0.4097    0.3881    0.1385   0.08474    0.5268         0
   109/799        0G   0.03908    0.1145         0    0.1536      1224       640     0.627    0.4086    0.3862    0.1376   0.08527    0.5238         0
   110/799        0G   0.03921    0.1091         0    0.1483       222       640    0.6182     0.415    0.3921    0.1361   0.08462    0.5494         0
   111/799        0G   0.04116    0.1115         0    0.1526       887       640    0.6389    0.4204    0.4045    0.1426   0.08433    0.5177         0
   112/799        0G   0.04006    0.1099         0    0.1499       909       640    0.6503    0.4151     0.404    0.1384   0.08496    0.5021         0
   113/799        0G   0.03934    0.1117         0    0.1511      1009       640    0.6447    0.4151     0.402    0.1399    0.0848    0.5042         0
   114/799        0G   0.03904    0.1184         0    0.1574       807       640    0.6103    0.4254    0.3988    0.1397   0.08401    0.5054         0
   115/799        0G   0.03919    0.1057         0    0.1449       693       640    0.6725    0.4063    0.4015    0.1425   0.08382    0.5076         0
   116/799        0G   0.04045    0.1153         0    0.1558      1104       640    0.6456    0.4166    0.3997    0.1404   0.08381    0.5039         0
   117/799        0G   0.03839    0.1173         0    0.1557       893       640    0.5076    0.4145    0.3583    0.1327   0.08385    0.5336         0
   118/799        0G   0.03989    0.1131         0     0.153       782       640      0.59    0.3798    0.3619    0.1316   0.08396    0.5455         0
   119/799        0G    0.0389    0.1171         0     0.156       581       640    0.5843    0.4304     0.395    0.1393   0.08398    0.5384         0
   120/799        0G   0.03906    0.1098         0    0.1489       733       640    0.6208    0.4361    0.4112    0.1429   0.08353    0.5353         0
   121/799        0G   0.03997    0.1194         0    0.1594      1146       640    0.6705    0.3963    0.3934    0.1392   0.08337     0.541         0
   122/799        0G   0.03867    0.1073         0    0.1459       345       640    0.6249    0.4158    0.4026    0.1414    0.0827     0.518         0
   123/799        0G   0.03821    0.1068         0     0.145       762       640     0.635     0.391    0.3863    0.1326   0.08336    0.5412         0
   124/799        0G   0.03904     0.116         0    0.1551       684       640    0.5694    0.4204    0.3857    0.1352   0.08258    0.5225         0
   125/799        0G   0.04019    0.1155         0    0.1557       839       640    0.6896    0.3799    0.3865    0.1361   0.08262     0.525         0
   126/799        0G   0.04044     0.116         0    0.1565       871       640    0.6329    0.4029    0.3927     0.139   0.08547    0.5166         0
   127/799        0G   0.03976    0.1109         0    0.1507      1180       640    0.6651    0.3944    0.3881     0.135    0.0863    0.5379         0
   128/799        0G   0.03966    0.1104         0    0.1501      1095       640    0.5845    0.4162    0.3787    0.1244   0.08656    0.5216         0
   129/799        0G    0.0385    0.1135         0     0.152       677       640    0.6465    0.4357    0.4193    0.1454   0.08371    0.5108         0
   130/799        0G   0.03918    0.1152         0    0.1543       792       640    0.6465      0.42    0.4136     0.141   0.08309    0.5132         0
   131/799        0G   0.03908    0.1042         0    0.1433      1133       640    0.6762    0.3956    0.4026    0.1381   0.08354    0.5191         0
   132/799        0G   0.04011    0.1107         0    0.1508       428       640    0.6914    0.4178    0.4255    0.1467   0.08435    0.5173         0
   133/799        0G   0.03783    0.1108         0    0.1486       465       640    0.6255     0.404     0.389    0.1324    0.0852    0.5437         0
   134/799        0G   0.03993      0.12         0      0.16       758       640    0.5933    0.4449    0.4121    0.1403   0.08428     0.519         0
   135/799        0G   0.03841    0.1101         0    0.1485       578       640    0.5773    0.4426     0.402    0.1375   0.08381    0.5208         0
   136/799        0G   0.03977    0.1067         0    0.1465       511       640    0.6719    0.4132    0.4089    0.1435   0.08334    0.5301         0
   137/799        0G   0.03799    0.1061         0    0.1441       494       640    0.6304    0.4223    0.4064    0.1375   0.08325    0.5304         0
   138/799        0G   0.04057    0.1171         0    0.1576      1036       640    0.6723    0.4065    0.4108    0.1408   0.08414    0.5383         0
   139/799        0G      0.04    0.1124         0    0.1524       702       640    0.6654    0.4021    0.3991    0.1324   0.08608    0.5251         0
   140/799        0G   0.04124    0.1204         0    0.1616      1227       640    0.5775    0.4373    0.3983    0.1347   0.08533    0.5334         0
   141/799        0G   0.03884    0.1083         0    0.1471       340       640    0.6898    0.4142    0.4244    0.1477   0.08366    0.5217         0
   142/799        0G   0.03932    0.1168         0    0.1562      1084       640    0.6484    0.4082    0.4048    0.1341   0.08498    0.5241         0
   143/799        0G   0.03991    0.1057         0    0.1457       563       640    0.6882     0.399    0.4024    0.1391   0.08472    0.5304         0
   144/799        0G    0.0404     0.117         0    0.1574      1264       640     0.587    0.4388    0.3993    0.1409   0.08492    0.5254         0
   145/799        0G   0.03909    0.1145         0    0.1536       616       640    0.6249    0.4074    0.3904    0.1319    0.0847    0.5177         0
   146/799        0G   0.03954    0.1134         0    0.1529       865       640    0.6669    0.4158    0.4051    0.1339    0.0843    0.5171         0
   147/799        0G   0.03998    0.1092         0    0.1492       775       640    0.6271    0.4128    0.3868    0.1298   0.08603     0.525         0
   148/799        0G   0.04009    0.1177         0    0.1578      1475       640    0.6496    0.4189    0.4029    0.1357   0.08479    0.5412         0
   149/799        0G   0.03804    0.1063         0    0.1443      1486       640    0.6755    0.4276    0.4134    0.1342   0.08468    0.5193         0
   150/799        0G   0.03929      0.11         0    0.1493       626       640    0.6307    0.4216    0.4051    0.1307   0.08524     0.528         0
   151/799        0G    0.0396    0.1031         0    0.1427       742       640    0.6788    0.4311    0.4228    0.1444     0.084    0.5213         0
   152/799        0G   0.03975    0.1142         0     0.154       566       640    0.6192    0.4445    0.4099     0.135   0.08468    0.5228         0
   153/799        0G   0.03808    0.1139         0     0.152       848       640    0.6807    0.4232    0.4112     0.139    0.0848    0.5191         0
   154/799        0G   0.03787    0.1109         0    0.1488      1549       640     0.686    0.4053    0.4007    0.1395   0.08422    0.5322         0
   155/799        0G   0.03897     0.113         0    0.1519       583       640    0.6369    0.4598    0.4303    0.1471    0.0833    0.5175         0
   156/799        0G   0.03932    0.1125         0    0.1518       730       640    0.6108    0.4384    0.4066     0.136    0.0848    0.5384         0
   157/799        0G   0.03823    0.1094         0    0.1476       697       640    0.6784    0.3948    0.3936    0.1335   0.08451    0.5261         0
   158/799        0G   0.03893    0.1156         0    0.1545       973       640    0.6066    0.4285    0.4008    0.1374   0.08465    0.5331         0
   159/799        0G   0.03928    0.1186         0    0.1579       654       640    0.6645    0.4124    0.4003    0.1355   0.08484    0.5121         0
   160/799        0G   0.03976    0.1244         0    0.1642       716       640    0.6992    0.4086    0.4106    0.1355    0.0857    0.5184         0
   161/799        0G    0.0382   0.09858         0    0.1368       935       640     0.629    0.4353    0.4107    0.1311   0.08604    0.5412         0
   162/799        0G   0.03833   0.09803         0    0.1364       709       640    0.6029    0.4464    0.4092    0.1343   0.08585    0.5355         0
